item,projeto_id_fiotec,titulo_projeto,objetivo_geral,coordenador_geral,coordenacao,numero_processo,tipo_instrumento_contratual,parceiro,categoria_teds,numero_instrumento_contratual,natureza_projeto,data_inicio_vigencia,data_fim_vigencia,eixo_mapa_estrategico_fiocruz,valor_total_projetos,recurso_liberado,recurso_a_receber,total_realizado,total_comprometido,saldo_total_atual,saldo_calculado,diferenca_saldo,percentual_realizado_sobre_liberado,percentual_receber_sobre_total
76,GEREB-008-FIO-25,"Apoio E Fomento Ao Desenvolvimento De Serviços, Ações, Estudos E Informações Estratégicas Voltados À Implementação E Ao Aprimoramento Dos Processos, Projetos E Programas De Gestão Do Trabalho E Educação Na Saúde","Contribuir Com A Implementação De Ações De Desenvolvimento Institucional, De Gestão Das Políticas De Trabalho E De Educação Na Saúde, De Estudos E Pesquisas Para Aperfeiçoar Práticas E Métodos, Disseminar Informações Estratégicas De Trabalho E Educação Na Saúde Visando O Desenvolvimento Profissional Das(Os) Trabalhadoras(Es) E A Qualidade Na Prestação Dos Serviços Públicos De Saúde.",Luciana Rezende Da Silva Garcez,UNASUS,25027.000503/2024-93,TED,MINISTÉRIO DA SAÚDE,TED de SUPORTE,148/2024,Desenvolvimento Institucional,2025-01-06,2029-01-06,"Ciência, Tecnologia, Saúde E Sociedade",103000514.0,27761262.45,75603495.4,25839398.43,936821.93,985042.09,985042.09,0.0,93.08,73.4
77,GEREB-002-FIO-25,Desenvolvimento E Testagem De Política Pública Baseada Em Tecnologias Sociais De Acolhimento Para A População Lgbtqia+,"Avaliar O Uso Das Tecnologias Sociais De Acolhimento Como Política Pública Para A População Lgbtqia+, Visando Aprimorar O Suporte E A Inclusão Social.",Wagner de Jesus Martins,COLABORATÓRIO,25027.000544/2024-80,TED,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,TED MDHC,396665900135.220785/2023-12,Pesquisa,2025-01-06,2027-06-01,"Ciência, Tecnologia, Saúde E Sociedade",1025000.0,1032172.72,3048.57,252438.89,304157.63,475576.2,475576.2,0.0,24.46,0.3
78,GEREB-003-FIO-25,Fortalecimento Das Políticas Públicas Direcionadas Aos Direitos Das Mulheres.,"Fortalecer A Atuação Do Conselho Nacional Dos Direitos Das Mulheres Nos Processos De Formulação, Articulação E Implementação De Estratégias E Políticas Públicas Para Mulheres Por Meio Do Controle Social E Da Gestão Participativa, Visando Subsidiar Decisões Governamentais Relativas À Implementação Do Plano Nacional De Políticas Para As Mulheres.",Wagner de Jesus Martins,COLABORATÓRIO,25027.000509/2024-61,TED,MINISTÉRIO DAS MULHERES,TED MMULHERES,33/2024,Pesquisa,2025-01-06,2026-11-22,Saúde E Sustentabilidade Socioambiental,4000000.0,5090749.3,20000.0,4639925.93,214700.0,236123.37,236123.37,0.0,91.14,0.5
79,GEREB-005-FIO-25,"Periferia Saudável, Sustentável E Solidária","Promover O Desenvolvimento Territorial Solidário, Saudável E Sustentável, Em Sinergia Com As Potencialidades Dos Territórios De Periferias Urbanas E Rurais, Com Foco No Desenvolvimento E Implementação De Tecnologias Sociais.",Wagner de Jesus Martins,COLABORATÓRIO,25027.000049/2024-71,TED,MINISTÉRIO DA SAÚDE,TED MS,137/2024,Extensão,2025-01-06,2028-01-06,"Ciência, Tecnologia, Saúde E Sociedade",50000000.0,6184938.12,43900000.0,3648996.14,58000.0,2477941.98,2477941.98,0.0,59.0,87.8
80,GEREB-001-FIO-25,Promoção Da Saúde E Da Igualdade Racial,Desenvolver Uma Formação-Ação Para Agentes Populares De Promoção Da Saúde E A Igualdade Racial (Appsir).,André Luiz Dutra Fenner,PSAT,25027.000533/2024-08,TED,MINISTÉRIO DA IGUALDADE RACIAL,TED MIR,32/2024,Extensão,2025-01-06,2026-07-23,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",600000.0,639272.39,0.0,451630.7,52351.51,135290.18,135290.18,0.0,70.65,0.0
81,GEREB-012-FIO-25,"Apoio Na Implementação Do Programa De Avaliação, Qualificação E Monitoramento Da Atenção Especializada – Pmae - Qualidade","Apoiar A Operacionalização Programa De Avaliação, Qualificação E Monitoramento Da Atenção Especializada – Pmae - Qualidade Por Meio Da Qualificação Dos Estabelecimentos De Saúde Da Atenção Especializada, Públicos E Privados Sem Fins Lucrativos, Alinhado Às Diretrizes Da Política Nacional Da Atenção Especializada À Saúde (Pnaes), Com O Intuito De Melhorar A Qualidade Dos Serviços Prestados E Fortalecer A Gestão Em Âmbito Nacional",André Vinícius Pires Guerrero,NUSMAD,25027.000536/2024-33,TED,MINISTÉRIO DA SAÚDE,TED MS,126/2024,Ensino,2025-01-08,2029-12-12,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",52597643.0,2889387.44,49967760.97,1168251.72,159300.0,1561835.72,1561835.72,0.0,40.43,95.0
82,GEREB-014-FIO-25,Etnodesenvolvimento Com A Rede De Povos E Comunidades Tradicionais Do Brasil: Inclusão Produtiva Nos Sistemas Agrícolas Tradicionais,"Contribuir Para O Etnodesenvolvimento Através Da Inclusão Produtiva Dos Sistemas Agrícolas Tradicionais E Da Gestão Territorial Por Meio Da Rede Dos Povos E Comunidades Tradicionais Do Brasil – Rede Pcts, Composta Por Organizações Que Envolvem Todos Os Segmentos De Pcts E Fomentando A Conservação De Práticas Culturais, Saberes Tradicionais E Ancestrais Na Produção De Alimentos, Na Manutenção Dos Sistemas Agrícolas Tradicionais, Na Defesa De Seus Territórios E Lideranças Comunitárias, Na Proteção Do Meio Ambiente, No Autorreconhecimento Dos Segmentos Para A Sua Inclusão E Acesso Às Políticas Públicas E Ao Exercício Pleno De Sua Cidadania.",Denise Oliveira E Silva,PALIN,25027.000512/2024-84,TED,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,TED MDA,30879420240059-00364,Pesquisa,2025-01-10,2027-01-10,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",6340050.0,4431539.29,2000100.01,2002585.35,287140.0,2141813.94,2141813.94,0.0,45.19,31.55
83,GEREB-009-FIO-25,"Apoio Na Implementação Do Programa De Avaliação, Qualificação E Monitoramento Da Atenção Especializada – Pmae - Qualidade","Apoiar A Operacionalização Programa De Avaliação, Qualificação E Monitoramento Da Atenção Especializada – Pmae - Qualidade Por Meio Da Qualificação Dos Estabelecimentos De Saúde Da Atenção Especializada, Públicos E Privados Sem Fins Lucrativos, Alinhado Às Diretrizes Da Política Nacional Da Atenção Especializada À Saúde (Pnaes), Com O Intuito De Fins Lucrativos, Alinhado Às Diretrizes Da Política Nacional Da Atenção Especializada À Saúde (Pnaes), Com O Intuito De Melhorar A Qualidade Dos Serviços Prestados E Fortalecer A Gestão Em Âmbito Nacional.",Denise Oliveira E Silva,PALIN,25027.000543/2024-35,TED,CONAB,CONAB,39440041,Pesquisa,2025-01-08,2027-01-10,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus/ Saúde E Sustentabilidade Socioambiental",11150000.0,7990488.37,3276875.84,6571955.79,1887660.0,-469127.42,-469127.42,0.0,82.25,29.39
84,GEREB-013-FIO-25,O Povo Cuidando Do Povo: Formação-Ação Territorial Para Participação E Controle Social Nas Políticas Públicas,"Promover A Articulação E Fortalecer A Participação Social Nas Políticas Públicas Para A Construção De Territórios Saudáveis, Sustentáveis E Solidários (Tsss) Nas Regiões Metropolitanas De Recife No Estado De Pernambuco (Pe) E Curitiba No Estado Do Paraná (Pr).",André Luiz Dutra Fenner,PSAT,25027.000526/2024-06,TED,SECRETARIA GERAL DA PRESIDÊNCIA DA REPÚBLICA,TED SG-PR,11/2024,Ensino,2025-01-08,2026-08-03,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",550000.0,584397.38,1000.02,417632.85,18200.0,148564.53,148564.53,0.0,71.46,0.18
85,GEREB-006-FIO-25,Mulheres Líderes E Ativistas: Fortalecendo A Participação Nos Espaços De Decisão De Políticas Públicas,"Promover O Engajamento Das Mulheres, Ligadas A Organizações Sociais, Órgãos Governamentais E Instituições De Apoio Que Atuam No Desenvolvimento E Articulação Da Agenda Dos Direitos Das Mulheres, Nos Processos De Formulação, Articulação E Implementação De Estratégias E Políticas Públicas Visando A Implementação De Planos E Políticas Para As Mulheres.",Wagner de Jesus Martins,COLABORATÓRIO,25027.000541/2024-46,TED,MINISTÉRIO DAS MULHERES,TED MMULHERES,42/2024,Extensão,2025-01-08,2026-07-08,"Ciência, Tecnologia, Saúde E Sociedade",16973547.0,17235766.9,0.0,16425795.35,0.0,-404169.43,809971.55,-1214140.98,95.3,0.0
